sample	mapped
AM723D_SCoV2_ctrl_16h	11244
AM723D_SCoV2_ctrl_48h	57560
AM723D_SCoV2_ACE2_16h	357940
AM723D_SCoV2_ACE2_48h	408678
AM1212Z_SCoV2_ctrl_16h	16862
AM1212Z_SCoV2_ctrl_48h	34631
AM1212Z_SCoV2_ACE2_16h	2053067
AM1212Z_SCoV2_ACE2_48h	891626
AM723D_NL63_ctrl_16h	1680
AM723D_NL63_ctrl_48h	2603
AM723D_NL63_ACE2_16h	51490
AM723D_NL63_ACE2_48h	31568
AM1212Z_NL63_ctrl_16h	2315
AM1212Z_NL63_ctrl_48h	3826
AM1212Z_NL63_ACE2_16h	52120
AM1212Z_NL63_ACE2_48h	29822
