"","nreads","CPM"
"mapping/star/lung_195V-S2/out/star.lung_195V-S2.bam",0,0
"mapping/star/lung_641D-S2/out/star.lung_641D-S2.bam",0,0
"mapping/star/lung_663D-S2/out/star.lung_663D-S2.bam",0,0
"mapping/star/lung_89C-S2/out/star.lung_89C-S2.bam",0,0
