"","nreads","CPM"
"mapping/star/lung_195V-S1/out/star.lung_195V-S1.bam",0,0
"mapping/star/lung_641D-S1/out/star.lung_641D-S1.bam",4,0.195947722715161
"mapping/star/lung_663D-S1/out/star.lung_663D-S1.bam",0,0
"mapping/star/lung_89C-S1/out/star.lung_89C-S1.bam",0,0
